access_id,access_type,source_osm_id,source_osm_element,name,district_name,nearest_entrance_distance_m,fallback_reason,x_m,y_m,snap_edge_index,snap_edge_fraction,off_network_connector_m,snap_cost_to_edge_u_m,snap_cost_to_edge_v_m,snapped_x_m,snapped_y_m,snapped_into_edge_interior
entrance:1777051529,entrance,1777051529,node,Yunus Rajabiy,Mirzo Ulugbek district,0.0,,523823.0214892164,4573552.210760487,39403,0.808853299,0.0,33.8393,7.9968,523823.021,4573552.211,True
entrance:1777051535,entrance,1777051535,node,Yunus Rajabiy,Mirzo Ulugbek district,0.0,,523805.7025397387,4573583.08329707,39402,0.90529786,0.0,36.164,3.7831,523805.703,4573583.083,True
entrance:1777740155,entrance,1777740155,node,,Shaykhantakhur district,0.0,,521322.4813069316,4574033.846737878,39472,0.0,0.0,0.0,14.7545,521322.481,4574033.847,False
entrance:1777740171,entrance,1777740171,node,,Shaykhantakhur district,0.0,,521314.184901989,4574314.017560218,62100,0.069745286,0.0,6.3498,84.6924,521314.185,4574314.018,True
entrance:1777740172,entrance,1777740172,node,,Shaykhantakhur district,0.0,,521265.18578894244,4574315.55027728,62100,0.929865472,0.0,84.657,6.3852,521265.186,4574315.55,True
entrance:1777744036,entrance,1777744036,node,O'zbekiston,Chilanzar district,0.0,,521233.12915173895,4573308.2465763865,76822,0.170764592,0.0,8.7381,42.4321,521233.129,4573308.247,True
entrance:1777744037,entrance,1777744037,node,O'zbekiston,Chilanzar district,0.0,,521182.7158714058,4573315.914976749,76826,0.129230132,0.0,5.4699,36.857,521182.716,4573315.915,True
entrance:1777744047,entrance,1777744047,node,O'zbekiston,Shaykhantakhur district,0.0,,521162.9347821962,4573385.364813816,88974,0.900836369,0.0,54.2736,5.9744,521162.935,4573385.365,True
entrance:1777744048,entrance,1777744048,node,O'zbekiston,Shaykhantakhur district,0.0,,521239.83010405966,4573389.741245098,82479,0.145907282,0.0,6.7383,39.4439,521239.83,4573389.741,True
entrance:1777744052,entrance,1777744052,node,,Shaykhantakhur district,0.0,,521240.0599820584,4573497.205999487,39489,0.849217712,0.0,56.0506,9.952,521240.06,4573497.206,True
entrance:1777845996,entrance,1777845996,node,,Chilanzar district,0.0,,516413.1276610154,4567155.995183873,39504,0.888974845,0.0,22.9188,2.8624,516413.128,4567155.995,True
