district_id,district_name,year,metro_state_id,open_station_count,population_modelled_available,population_growth_pct_from_2015,metro_access_population_standardized,metro_access_pct_standardized,metro_access_pct_change_from_2015_pp,population_model_status,population_projection_flag,geography_version
1726273,Mirabad district,2015,metro_state_29,29,204234.348455,0.0,31959.250605,15.64832304,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726273,Mirabad district,2016,metro_state_29,29,207827.532406,1.759344,32488.155925,15.632267558,-0.016055482,modelled_estimate,False,current_12_district_analysis_geometry
1726273,Mirabad district,2017,metro_state_29,29,211406.932315,3.511938,33009.697253,15.614292725,-0.034030315,modelled_estimate,False,current_12_district_analysis_geometry
1726273,Mirabad district,2018,metro_state_29,29,214991.825281,5.267222,33533.539834,15.597588322,-0.050734718,modelled_estimate,False,current_12_district_analysis_geometry
1726273,Mirabad district,2019,metro_state_29,29,218835.428274,7.149179,34084.609837,15.575453255,-0.072869785,modelled_estimate,False,current_12_district_analysis_geometry
1726273,Mirabad district,2020,metro_state_43,43,222914.901618,9.146627,35705.597903,16.017591307,0.369268267,modelled_estimate,False,current_12_district_analysis_geometry
1726273,Mirabad district,2021,metro_state_43,43,227166.483938,11.228344,36351.563513,16.00216849,0.35384545,modelled_estimate,False,current_12_district_analysis_geometry
1726273,Mirabad district,2022,metro_state_43,43,231723.614135,13.459668,37042.524018,15.985649178,0.337326138,modelled_estimate,False,current_12_district_analysis_geometry
1726273,Mirabad district,2023,metro_state_48,48,236483.638911,15.790336,46239.84814,19.553085513,3.904762473,modelled_estimate,False,current_12_district_analysis_geometry
1726273,Mirabad district,2024,metro_state_50,50,241283.119322,18.140323,47147.748282,19.540425544,3.892102504,modelled_estimate,False,current_12_district_analysis_geometry
1726273,Mirabad district,2025,metro_state_50,50,245992.292022,20.446092,48040.073184,19.529096944,3.880773904,modelled_estimate,False,current_12_district_analysis_geometry
1726273,Mirabad district,2026,metro_state_50,50,250550.651605,22.678018,48905.492577,19.519203907,3.870880867,modelled_estimate,True,current_12_district_analysis_geometry
1726277,Shaykhantakhur district,2015,metro_state_29,29,195073.786964,0.0,28865.575044,14.797259792,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726277,Shaykhantakhur district,2016,metro_state_29,29,198505.448329,1.759161,29357.015107,14.789022344,-0.008237449,modelled_estimate,False,current_12_district_analysis_geometry
1726277,Shaykhantakhur district,2017,metro_state_29,29,201924.08527,3.511645,29849.663887,14.782616867,-0.014642926,modelled_estimate,False,current_12_district_analysis_geometry
1726277,Shaykhantakhur district,2018,metro_state_29,29,205347.835959,5.26675,30342.005489,14.775907108,-0.021352685,modelled_estimate,False,current_12_district_analysis_geometry
1726277,Shaykhantakhur district,2019,metro_state_29,29,209018.745499,7.148556,30864.895467,14.766568134,-0.030691658,modelled_estimate,False,current_12_district_analysis_geometry
1726277,Shaykhantakhur district,2020,metro_state_43,43,212914.919728,9.145838,31413.941665,14.754222816,-0.043036977,modelled_estimate,False,current_12_district_analysis_geometry
